word;n.total;r
ninguno;2006;0.990018472514173
precisamente;2005;0.989992993184279
silla;2005;0.989992993184279
vestido;2004;0.989973883686859
golpe;2003;0.989954774189439
tanta;2003;0.989954774189439
finalmente;2000;0.989935664692019
vas;1998;0.989922925027072
conciencia;1996;0.989910185362125
di;1984;0.989897445697178
gobierno;1982;0.989878336199758
prueba;1982;0.989878336199758
significa;1980;0.989859226702338
secreto;1979;0.989846487037391
llena;1977;0.989833747372444
kilómetros;1976;0.989821007707497
sociedad;1969;0.98980826804255
york;1967;0.989795528377604
vuestro;1966;0.989782788712657
creía;1963;0.989763679215237
ejército;1963;0.989763679215237
encontraba;1960;0.989744569717816
trabajar;1958;0.98973183005287
príncipe;1954;0.989719090387923
rojo;1953;0.989706350722976
compañía;1952;0.989693611058029
cien;1951;0.989680871393082
espera;1950;0.989668131728136
fuese;1949;0.989655392063189
oscuro;1940;0.989642652398242
hice;1937;0.989629912733295
existe;1931;0.989617173068348
habéis;1928;0.989598063570928
perder;1928;0.989598063570928
necesidad;1927;0.989572584241034
pared;1927;0.989572584241034
esperanza;1923;0.989553474743614
energía;1922;0.989540735078667
pensando;1918;0.989527995413721
nuevas;1910;0.9895088859163
primeros;1910;0.9895088859163
tuve;1909;0.98948977641888
alguno;1908;0.989464297088987
interés;1908;0.989464297088987
supongo;1908;0.989464297088987
parecer;1902;0.98943244792662
vacío;1902;0.98943244792662
gusto;1900;0.989400598764252
tomó;1900;0.989400598764252
ustedes;1900;0.989400598764252
deja;1896;0.989368749601885
unidos;1896;0.989368749601885
simplemente;1895;0.989349640104465
lágrimas;1894;0.989336900439518
1;1893;0.989311421109625
creer;1893;0.989311421109625
probablemente;1893;0.989311421109625
conocido;1892;0.989285941779731
hans;1889;0.989273202114784
sacó;1887;0.989254092617364
venir;1887;0.989254092617364
semejante;1882;0.989234983119944
conocimiento;1881;0.989222243454997
2;1877;0.989203133957577
hablando;1877;0.989203133957577
parecían;1871;0.989184024460157
quedaba;1867;0.98917128479521
personal;1866;0.989158545130263
anterior;1863;0.989145805465316
resultado;1861;0.989133065800369
calor;1858;0.989120326135423
oyó;1856;0.989107586470476
opinión;1855;0.989094846805529
debo;1853;0.989082107140582
justo;1852;0.989069367475635
estuviera;1850;0.989056627810689
peligro;1846;0.989043888145742
exactamente;1845;0.989024778648322
hicieron;1845;0.989024778648322
cuales;1843;0.989005669150901
detuvo;1842;0.988992929485955
honor;1841;0.988980189821008
quiso;1839;0.988967450156061
posibilidad;1836;0.988954710491114
pasaba;1835;0.988941970826167
condiciones;1831;0.98892923116122
llamó;1828;0.988916491496274
terrible;1824;0.988903751831327
haga;1820;0.98889101216638
henry;1819;0.98887190266896
san;1819;0.98887190266896
busca;1813;0.98885279317154
entrada;1812;0.988833683674119
hambre;1812;0.988833683674119
repente;1810;0.988814574176699
velocidad;1809;0.988801834511752
habla;1802;0.988782725014332
voluntad;1802;0.988782725014332
castorp;1801;0.988763615516912
imagen;1799;0.988750875851965
esperando;1798;0.988738136187018
traje;1797;0.988725396522072
debería;1796;0.988712656857125
chica;1795;0.988699917192178
costumbre;1793;0.988687177527231
and;1790;0.988674437862284
puertas;1787;0.988661698197337
preciso;1784;0.988648958532391
tenga;1783;0.988636218867444
menudo;1777;0.988623479202497
nuevos;1776;0.98861073953755
preguntas;1775;0.98859163004013
árboles;1775;0.98859163004013
extremo;1774;0.98857252054271
cree;1773;0.988553411045289
negra;1773;0.988553411045289
capítulo;1770;0.988534301547869
caballero;1768;0.988521561882922
madera;1767;0.988502452385502
principios;1767;0.988502452385502
vuelve;1764;0.988483342888082
amo;1762;0.988470603223135
contar;1759;0.988451493725715
cualquiera;1759;0.988451493725715
pensamiento;1758;0.988432384228295
buenos;1757;0.988419644563348
objetos;1756;0.988400535065928
rápidamente;1756;0.988400535065928
contigo;1754;0.988381425568507
cincuenta;1752;0.988368685903561
memoria;1751;0.988355946238614
animal;1743;0.988343206573667
oscuridad;1742;0.988324097076247
sombra;1742;0.988324097076247
semanas;1741;0.988304987578827
importancia;1739;0.98829224791388
dando;1738;0.988279508248933
cuánto;1733;0.988260398751513
dientes;1733;0.988260398751513
corriente;1732;0.988241289254093
buenas;1730;0.988228549589146
social;1725;0.988215809924199
califa;1722;0.988203070259252
esfuerzo;1718;0.988190330594305
tía;1717;0.988177590929359
formas;1713;0.988164851264412
evitar;1712;0.988152111599465
comenzó;1711;0.988133002102045
éxito;1711;0.988133002102045
pequeños;1707;0.988107522772151
salón;1707;0.988107522772151
sentó;1706;0.988088413274731
pude;1704;0.988075673609784
especial;1700;0.988056564112364
olor;1700;0.988056564112364
motivo;1699;0.988037454614944
completo;1698;0.988024714949997
dicen;1697;0.98801197528505
conocía;1695;0.987999235620103
impresión;1693;0.987986495955156
habíamos;1692;0.98797375629021
encuentro;1689;0.987961016625263
cayó;1687;0.987941907127843
dispuesto;1687;0.987941907127843
belleza;1685;0.987922797630422
esté;1684;0.987897318300529
momentos;1684;0.987897318300529
ocurre;1684;0.987897318300529
relaciones;1682;0.987871838970635
doña;1681;0.987859099305688
pienso;1676;0.987846359640741
